sum_gb,nodes,blocks,block_size,map_time_sec,shift_time_sec
1,1,1,1024,9.49230242,11.187279754
2,1,2,1024,7.860700805,10.938804099
4,1,1,4096,22.387504844,37.544617995
8,1,1,8192,44.79551159,65.967309739
8,1,2,4096,29.245142558,36.79728485
10,1,10,1024,8.165143958,11.017871792
16,1,1,16384,83.827629311,129.325518466
16,1,2,8192,35.997691622,52.286796233
16,4,4,1024,7.742710136,10.923817219
32,1,2,16384,75.450454905,106.947880642
32,4,8,1024,7.77656619,10.811013287
40,1,10,4096,34.685548284,45.804215518
64,4,4,4096,21.507044951,40.282739497
80,1,10,8192,56.016688743,92.917976473
128,4,4,8192,35.639206607,60.655328242
128,4,8,4096,23.281179248,37.510974172
160,1,10,16384,107.879872464,161.914295799
160,4,40,1024,8.955616768,12.106748367
256,4,4,16384,68.025931167,114.406338813
256,4,8,8192,35.626654779,56.203812948
256,16,16,1024,9.974275711,12.026442088
512,4,8,16384,68.380417458,108.070276816
512,16,32,1024,9.241717213,11.674727429
640,4,40,4096,26.550236638,46.463715661
1024,16,16,4096,25.154339642,43.082408409
1024,32,32,1024,9.813853007,12.20286686
1280,4,40,8192,53.758236061,99.250585025
2048,16,16,8192,42.152526939,78.595949264
2048,16,32,4096,25.285102525,43.773884171
2048,32,64,1024,9.896604006,12.205256849
2560,4,40,16384,103.260670967,295.963807711
2560,16,160,1024,10.630248724,13.437175268
4096,16,16,16384,87.356919225,139.582138947
4096,16,32,8192,45.359089577,75.830392133
4096,64,64,1024,11.288899401,12.539636345
4096,64,64,1024,11.940525895,12.588259114
8192,16,32,16384,86.730391688,138.044655276
8192,32,32,8192,47.738119831,85.182400637
8192,32,64,4096,26.562015524,47.573531011
8192,64,128,1024,13.083205631,12.92578032
8192,64,128,1024,13.325312719,12.947538243
10240,16,160,4096,28.120197295,48.66131346
10240,32,320,1024,12.166043081,13.336861651
16384,32,64,8192,50.121410834,79.104615405
16384,64,64,4096,29.000550037,44.763618832
16384,64,64,4096,26.670723664,44.295771099
20480,16,160,8192,54.501833723,100.523928876
32768,32,64,16384,95.842676367,142.165313596
32768,64,64,8192,50.809628396,79.344374638
32768,64,64,8192,51.326331985,79.841838054
32768,64,128,4096,28.562213553,44.953824337
32768,64,128,4096,28.723441187,45.913019037
40960,16,160,16384,107.544266763,327.085832207
40960,32,320,4096,28.260316876,49.979699696
40960,64,640,1024,13.505792689,13.626500193
40960,64,640,1024,13.152243481,13.219351823
65536,64,64,16384,89.860041958,141.601424568
65536,64,64,16384,97.0442744,151.922150084
65536,64,128,8192,49.394351826,80.539155527
65536,64,128,8192,51.819751749,80.504287932
81920,32,320,8192,56.334765282,98.634534432
131072,64,128,16384,94.627052207,142.505928883
131072,64,128,16384,96.11682483,142.018595514
163840,32,320,16384,118.913206742,340.913021035
163840,64,640,4096,36.188554525,50.649436403
163840,64,640,4096,31.59453949,51.210787387
327680,64,640,8192,58.69999267,99.712920828
327680,64,640,8192,57.552415286,101.488121343
655360,64,640,16384,112.132417081,348.193784697
655360,64,640,16384,114.089997409,333.745649575
